0000UNIQUECOUNT     	12593
SNA94104            	107	0.028%
ELE12951            	106	0.028%
ELE64691            	106	0.028%
GRO26124            	106	0.028%
GRO12870            	106	0.028%
GRO32524            	106	0.028%
SNA62579            	106	0.028%
SNA64706            	105	0.028%
FRO71033            	104	0.027%
FRO11987            	104	0.027%
SNA46500            	104	0.027%
SNA38584            	104	0.027%
DAI68241            	103	0.027%
DAI50189            	103	0.027%
FRO11140            	103	0.027%
FRO87622            	103	0.027%
GRO73939            	103	0.027%
GRO94871            	103	0.027%
SNA12342            	103	0.027%
SNA87482            	103	0.027%
SNA28607            	103	0.027%
SNA37363            	103	0.027%
DAI23411            	102	0.027%
ELE67905            	102	0.027%
ELE76310            	102	0.027%
ELE31307            	102	0.027%
FRO47796            	102	0.027%
FRO61250            	102	0.027%
GRO66628            	102	0.027%
GRO24757            	102	0.027%
GRO92215            	102	0.027%
SNA77101            	102	0.027%
ELE99724            	101	0.027%
ELE36588            	101	0.027%
FRO32801            	101	0.027%
GRO17442            	101	0.027%
SNA90161            	101	0.027%
DAI51778            	100	0.026%
ELE40371            	100	0.026%
ELE12808            	100	0.026%
GRO90585            	100	0.026%
SNA90993            	100	0.026%
GRO97641            	99	0.026%
GRO16765            	99	0.026%
GRO54137            	99	0.026%
SNA54638            	99	0.026%
SNA63339            	99	0.026%
DAI76020            	98	0.026%
ELE73625            	98	0.026%
ELE50967            	98	0.026%
FRO35179            	98	0.026%
FRO92511            	98	0.026%
FRO76733            	98	0.026%
FRO56023            	98	0.026%
GRO91578            	98	0.026%
GRO21625            	98	0.026%
SNA23339            	98	0.026%
ELE31596            	97	0.025%
ELE40262            	97	0.025%
DAI71083            	96	0.025%
ELE89892            	96	0.025%
GRO88085            	96	0.025%
SNA54269            	96	0.025%
DAI23792            	95	0.025%
FRO25846            	95	0.025%
FRO24617            	95	0.025%
FRO52473            	95	0.025%
GRO66698            	95	0.025%
SNA31706            	95	0.025%
SNA12411            	95	0.025%
SNA79613            	95	0.025%
DAI97422            	94	0.025%
ELE39978            	94	0.025%
ELE69983            	94	0.025%
FRO41643            	94	0.025%
FRO73019            	94	0.025%
FRO62856            	94	0.025%
GRO54782            	94	0.025%
GRO77906            	94	0.025%
GRO13892            	94	0.025%
GRO57342            	94	0.025%
SNA41910            	94	0.025%
SNA48838            	94	0.025%
DAI46921            	93	0.024%
GRO16372            	93	0.024%
ELE24467            	92	0.024%
FRO15390            	92	0.024%
FRO28507            	92	0.024%
GRO68850            	92	0.024%
GRO54048            	92	0.024%
SNA60007            	92	0.024%
DAI92516            	91	0.024%
ELE13295            	91	0.024%
ELE61654            	91	0.024%
ELE98423            	91	0.024%
FRO98494            	91	0.024%
GRO98479            	91	0.024%
GRO32028            	91	0.024%
GRO17635            	91	0.024%
DAI24639            	90	0.024%
ELE74209            	90	0.024%
DAI99254            	89	0.023%
DAI88569            	89	0.023%
DAI81380            	89	0.023%
ELE77757            	89	0.023%
FRO68800            	89	0.023%
GRO72531            	89	0.023%
DAI35681            	88	0.023%
ELE98988            	88	0.023%
GRO55781            	88	0.023%
DAI44136            	87	0.023%
ELE87313            	87	0.023%
ELE77815            	87	0.023%
FRO24402            	87	0.023%
FRO89483            	87	0.023%
GRO32230            	87	0.023%
SNA72003            	87	0.023%
SNA96071            	87	0.023%
SNA30671            	87	0.023%
SNA37544            	87	0.023%
DAI34002            	86	0.023%
DAI34374            	86	0.023%
ELE66162            	86	0.023%
FRO40829            	86	0.023%
FRO91114            	86	0.023%
SNA50297            	86	0.023%
DAI86157            	85	0.022%
ELE30572            	85	0.022%
FRO45082            	85	0.022%
GRO15514            	85	0.022%
DAI50977            	84	0.022%
DAI21067            	84	0.022%
DAI87565            	84	0.022%
ELE49825            	84	0.022%
ELE24180            	84	0.022%
FRO53005            	84	0.022%
FRO81637            	84	0.022%
GRO41303            	84	0.022%
GRO95746            	83	0.022%
SNA47633            	83	0.022%
SNA67649            	83	0.022%
DAI44088            	82	0.022%
DAI59119            	82	0.022%
DAI56047            	82	0.022%
ELE93988            	82	0.022%
ELE32157            	81	0.021%
ELE65367            	81	0.021%
ELE45779            	81	0.021%
ELE90882            	81	0.021%
FRO20226            	81	0.021%
GRO43348            	81	0.021%
GRO80001            	81	0.021%
SNA16062            	81	0.021%
SNA47546            	81	0.021%
SNA38054            	81	0.021%
DAI99554            	80	0.021%
DAI69734            	80	0.021%
DAI66393            	80	0.021%
DAI96960            	80	0.021%
ELE46924            	80	0.021%
FRO55355            	80	0.021%
GRO54121            	80	0.021%
SNA25383            	80	0.021%
SNA33970            	80	0.021%
ELE47747            	79	0.021%
FRO14016            	79	0.021%
DAI44355            	78	0.02%
DAI12521            	78	0.02%
ELE65461            	78	0.02%
ELE74763            	78	0.02%
ELE92584            	78	0.02%
FRO71549            	78	0.02%
GRO71946            	78	0.02%
GRO70812            	78	0.02%
SNA94083            	78	0.02%
DAI80973            	77	0.02%
DAI53162            	77	0.02%
ELE96667            	77	0.02%
GRO32566            	77	0.02%
GRO29472            	77	0.02%
GRO64381            	77	0.02%
SNA56114            	77	0.02%
DAI35839            	76	0.02%
DAI89797            	76	0.02%
ELE18157            	76	0.02%
GRO78407            	76	0.02%
GRO50679            	76	0.02%
GRO59375            	76	0.02%
GRO90244            	76	0.02%
SNA87654            	76	0.02%
